Date,Victims of Treblinka
1942-03-15,
1942-03-16,
1942-03-17,
1942-03-18,
1942-03-19,
1942-03-20,
1942-03-21,
1942-03-22,
1942-03-23,
1942-03-24,
1942-03-25,
1942-03-26,
1942-03-27,
1942-03-28,
1942-03-29,
1942-03-30,
1942-03-31,
1942-04-01,
1942-04-02,
1942-04-03,
1942-04-04,
1942-04-05,
1942-04-06,
1942-04-07,
1942-04-08,
1942-04-09,
1942-04-10,
1942-04-11,
1942-04-12,
1942-04-13,
1942-04-14,
1942-04-15,
1942-04-16,
1942-04-17,
1942-04-18,
1942-04-19,259
1942-04-20,259
1942-04-21,259
1942-04-22,260
1942-04-23,259
1942-04-24,259
1942-04-25,259
1942-04-26,260
1942-04-27,259
1942-04-28,259
1942-04-29,259
1942-04-30,260
1942-05-01,259
1942-05-02,259
1942-05-03,259
1942-05-04,260
1942-05-05,259
1942-05-06,259
1942-05-07,259
1942-05-08,260
1942-05-09,259
1942-05-10,259
1942-05-11,259
1942-05-12,260
1942-05-13,259
1942-05-14,259
1942-05-15,260
1942-05-16,
1942-05-17,
1942-05-18,
1942-05-19,
1942-05-20,
1942-05-21,
1942-05-22,
1942-05-23,
1942-05-24,
1942-05-25,
1942-05-26,
1942-05-27,
1942-05-28,
1942-05-29,
1942-05-30,
1942-05-31,
1942-06-01,
1942-06-02,
1942-06-03,
1942-06-04,
1942-06-05,
1942-06-06,
1942-06-07,
1942-06-08,
1942-06-09,
1942-06-10,
1942-06-11,
1942-06-12,
1942-06-13,
1942-06-14,
1942-06-15,
1942-06-16,
1942-06-17,
1942-06-18,
1942-06-19,
1942-06-20,
1942-06-21,
1942-06-22,
1942-06-23,
1942-06-24,
1942-06-25,
1942-06-26,
1942-06-27,
1942-06-28,
1942-06-29,
1942-06-30,
1942-07-01,
1942-07-02,
1942-07-03,
1942-07-04,
1942-07-05,
1942-07-06,
1942-07-07,
1942-07-08,
1942-07-09,
1942-07-10,
1942-07-11,
1942-07-12,
1942-07-13,
1942-07-14,
1942-07-15,
1942-07-16,
1942-07-17,
1942-07-18,
1942-07-19,
1942-07-20,
1942-07-21,
1942-07-22,5250
1942-07-23,5250
1942-07-24,5250
1942-07-25,5250
1942-07-26,5250
1942-07-27,5250
1942-07-28,5250
1942-07-29,5250
1942-07-30,5250
1942-07-31,5250
1942-08-01,5250
1942-08-02,5250
1942-08-03,5250
1942-08-04,5250
1942-08-05,5250
1942-08-06,13250
1942-08-07,5250
1942-08-08,5250
1942-08-09,5250
1942-08-10,5250
1942-08-11,5250
1942-08-12,5250
1942-08-13,5250
1942-08-14,5250
1942-08-15,5250
1942-08-16,15250
1942-08-17,15250
1942-08-18,5250
1942-08-19,13686
1942-08-20,17686
1942-08-21,13086
1942-08-22,24725
1942-08-23,12376
1942-08-24,12376
1942-08-25,15535
1942-08-26,10750
1942-08-27,5250
1942-08-28,5250
1942-08-29,
1942-08-30,
1942-08-31,
1942-09-01,
1942-09-02,
1942-09-03,7200
1942-09-04,7200
1942-09-05,7200
1942-09-06,7200
1942-09-07,7200
1942-09-08,5200
1942-09-09,5200
1942-09-10,5200
1942-09-11,5200
1942-09-12,9500
1942-09-13,
1942-09-14,
1942-09-15,761
1942-09-16,2412
1942-09-17,2411
1942-09-18,2412
1942-09-19,2411
1942-09-20,2412
1942-09-21,4611
1942-09-22,11862
1942-09-23,18861
1942-09-24,8862
1942-09-25,8861
1942-09-26,541
1942-09-27,19406
1942-09-28,5645
1942-09-29,15645
1942-09-30,5644
1942-10-01,7645
1942-10-02,9645
1942-10-03,12811
1942-10-04,10812
1942-10-05,8061
1942-10-06,8862
1942-10-07,7225
1942-10-08,1750
1942-10-09,1000
1942-10-10,5666
1942-10-11,11167
1942-10-12,11167
1942-10-13,
1942-10-14,
1942-10-15,9207
1942-10-16,4307
1942-10-17,4306
1942-10-18,4307
1942-10-19,4307
1942-10-20,10806
1942-10-21,4307
1942-10-22,7599
1942-10-23,7598
1942-10-24,7800
1942-10-25,8941
1942-10-26,5942
1942-10-27,5942
1942-10-28,5943
1942-10-29,5939
1942-10-30,8137
1942-10-31,5735
1942-11-01,3292
1942-11-02,4874
1942-11-03,5581
1942-11-04,1581
1942-11-05,4081
1942-11-06,4081
1942-11-07,10581
1942-11-08,1581
1942-11-09,1581
1942-11-10,3570
1942-11-11,3088
1942-11-12,1990
1942-11-13,1988
1942-11-14,1989
1942-11-15,2989
1942-11-16,1989
1942-11-17,1987
1942-11-18,1990
1942-11-19,1988
1942-11-20,1989
1942-11-21,1988
1942-11-22,1989
1942-11-23,1988
1942-11-24,1990
1942-11-25,1987
1942-11-26,1989
1942-11-27,1989
1942-11-28,1989
1942-11-29,1986
1942-11-30,4330
1942-12-01,1988
1942-12-02,1989
1942-12-03,1988
1942-12-04,1989
1942-12-05,1988
1942-12-06,1990
1942-12-07,1987
1942-12-08,1989
1942-12-09,1989
1942-12-10,1987
1942-12-11,1990
1942-12-12,1988
1942-12-13,1989
1942-12-14,1990
1942-12-15,1990
1942-12-16,
1942-12-17,
1942-12-18,
1942-12-19,
1942-12-20,
1942-12-21,
1942-12-22,
1942-12-23,
1942-12-24,
1942-12-25,
1942-12-26,
1942-12-27,
1942-12-28,
1942-12-29,
1942-12-30,
1942-12-31,
1943-01-01,
1943-01-02,
1943-01-03,
1943-01-04,
1943-01-05,
1943-01-06,7292
1943-01-07,
1943-01-08,
1943-01-09,
1943-01-10,6000
1943-01-11,
1943-01-12,
1943-01-13,6500
1943-01-14,
1943-01-15,
1943-01-16,
1943-01-17,
1943-01-18,1520
1943-01-19,1520
1943-01-20,1520
1943-01-21,1520
1943-01-22,1520
1943-01-23,
1943-01-24,
1943-01-25,2120
1943-01-26,
1943-01-27,
1943-01-28,
1943-01-29,
1943-01-30,
1943-01-31,
1943-02-01,
1943-02-02,
1943-02-03,
1943-02-04,
1943-02-05,
1943-02-06,
1943-02-07,
1943-02-08,
1943-02-09,1200
1943-02-10,1200
1943-02-11,1200
1943-02-12,1200
1943-02-13,1200
1943-02-14,733
1943-02-15,733
1943-02-16,734
1943-02-17,733
1943-02-18,733
1943-02-19,734
1943-02-20,
1943-02-21,
1943-02-22,
1943-02-23,
1943-02-24,
1943-02-25,
1943-02-26,
1943-02-27,
1943-02-28,
1943-03-01,
1943-03-02,
1943-03-03,
1943-03-04,
1943-03-05,
1943-03-06,
1943-03-07,
1943-03-08,
1943-03-09,
1943-03-10,
1943-03-11,
1943-03-12,
1943-03-13,
1943-03-14,
1943-03-15,
1943-03-16,
1943-03-17,
1943-03-18,
1943-03-19,
1943-03-20,
1943-03-21,
1943-03-22,
1943-03-23,
1943-03-24,
1943-03-25,
1943-03-26,
1943-03-27,
1943-03-28,
1943-03-29,
1943-03-30,
1943-03-31,
1943-04-01,
1943-04-02,
1943-04-03,
1943-04-04,
1943-04-05,
1943-04-06,
1943-04-07,
1943-04-08,
1943-04-09,
1943-04-10,
1943-04-11,
1943-04-12,
1943-04-13,
1943-04-14,
1943-04-15,
1943-04-16,
1943-04-17,
1943-04-18,
1943-04-19,
1943-04-20,
1943-04-21,
1943-04-22,
1943-04-23,
1943-04-24,
1943-04-25,
1943-04-26,
1943-04-27,
1943-04-28,
1943-04-29,
1943-04-30,
1943-05-01,
1943-05-02,
1943-05-03,
1943-05-04,
1943-05-05,
1943-05-06,
1943-05-07,
1943-05-08,
1943-05-09,
1943-05-10,
1943-05-11,
1943-05-12,
1943-05-13,
1943-05-14,
1943-05-15,
1943-05-16,
1943-05-17,
1943-05-18,
1943-05-19,
1943-05-20,
1943-05-21,
1943-05-22,
1943-05-23,
1943-05-24,
1943-05-25,
1943-05-26,
1943-05-27,
1943-05-28,
1943-05-29,
1943-05-30,
1943-05-31,
1943-06-01,
1943-06-02,
1943-06-03,
1943-06-04,
1943-06-05,
1943-06-06,
1943-06-07,
1943-06-08,
1943-06-09,
1943-06-10,
1943-06-11,
1943-06-12,
1943-06-13,
1943-06-14,
1943-06-15,
1943-06-16,
1943-06-17,
1943-06-18,
1943-06-19,
1943-06-20,
1943-06-21,
1943-06-22,
1943-06-23,
1943-06-24,
1943-06-25,
1943-06-26,
1943-06-27,
1943-06-28,
1943-06-29,
1943-06-30,
1943-07-01,
1943-07-02,
1943-07-03,
1943-07-04,
1943-07-05,
1943-07-06,
1943-07-07,
1943-07-08,
1943-07-09,
1943-07-10,
1943-07-11,
1943-07-12,
1943-07-13,
1943-07-14,
1943-07-15,
1943-07-16,
1943-07-17,
1943-07-18,
1943-07-19,
1943-07-20,
1943-07-21,
1943-07-22,
1943-07-23,
1943-07-24,
1943-07-25,
1943-07-26,
1943-07-27,
1943-07-28,
1943-07-29,
1943-07-30,
1943-07-31,
1943-08-01,
1943-08-02,
1943-08-04,
1943-08-05,
1943-08-06,
1943-08-07,
1943-08-08,
1943-08-09,
1943-08-10,
1943-08-11,
1943-08-12,
1943-08-13,
1943-08-14,
1943-08-15,
1943-08-16,
1943-08-17,
1943-08-18,3800
1943-08-19,3800
1943-08-20,
1943-08-21,
1943-08-22,
1943-08-23,
1943-08-24,
1943-08-25,
1943-08-26,
1943-08-27,
1943-08-28,
1943-08-29,
1943-08-30,
1943-08-31,
1943-09-01,
1943-09-02,
1943-09-03,
1943-09-04,
1943-09-05,
1943-09-06,
1943-09-07,
1943-09-08,
1943-09-09,
1943-09-10,
1943-09-11,
1943-09-12,
1943-09-13,
1943-09-14,
1943-09-15,
1943-09-16,
1943-09-17,
1943-09-18,
1943-09-19,
1943-09-20,
1943-09-21,
1943-09-22,
1943-09-23,
1943-09-24,
1943-09-25,
1943-09-26,
1943-09-27,
1943-09-28,
1943-09-29,
1943-09-30,
